cluster,scalar,offset,lon,lat,type,country,hub_height_m,rotor_diameter_m,elevation,slope,aspect,roughness,curvature,distance_to_coast_km,nearby_mean_correction,nearby_correction_variance,turbine_density,era5_elevation_error,era5_roughness,subgrid_terrain_variance,latitude,longitude,abs_latitude,coastal_latitude
0.0,0.9527559283010476,0.1828130783613775,8.0,54.5,onshore,DK,45.844742693773824,50.13722998729352,37.9914757260962,0.0457294178205184,344.33715657736354,51.15779823001604,-3.689119064872135e-07,22.373130295416544,0.8283570949563406,0.13102353042168308,11,-37.202938340113214,2.6773603167384863e-05,49.827759449770966,54.5,8.0,54.5,54.5
1.0,0.6624040372650051,1.142616969343255,8.227272727272727,54.5,onshore,DK,45.844742693773824,50.13722998729352,57.1210741861824,0.29654764408992473,191.07499589106132,42.42923687638261,-3.8653704038637755e-07,11.946609932178113,0.8391233454462854,0.11610596369663402,15,-57.35145635988596,2.6177556719630957e-05,37.38525886982158,54.5,8.227272727272727,54.5,54.5
2.0,0.907329023433818,0.3373224417298758,8.454545454545455,54.5,onshore,DK,45.844742693773824,50.13722998729352,53.42495990915336,0.3438974351730899,102.81977987713549,39.592926274128324,-5.837767633996294e-07,10.16007151375849,0.8208855973962841,0.1246624323655197,19,-54.16161524953463,0.024223875254392624,41.98460534996914,54.5,8.454545454545455,54.5,54.5
3.0,0.65214739192273,1.2230014801298938,8.681818181818182,54.5,onshore,DK,45.844742693773824,50.13722998729352,-17.301248247701636,0.2709819471266111,321.4413555814966,48.996215065978156,8.139954884299833e-07,0.6849419435304822,0.8404247286208184,0.12112422692837448,21,16.518785343065495,0.12739570438861847,47.12553784291482,54.5,8.681818181818182,54.5,54.5
4.0,0.7263649326590603,0.9913195312318492,8.909090909090908,54.5,onshore,DK,45.844742693773824,50.13722998729352,14.13719492242975,0.27481429791139805,237.62341065240872,52.661558337653844,2.481998297714226e-07,1.4814764277601598,0.8069895043074691,0.1282637629226502,20,-9.601200453752881,0.2963109612464905,47.22183304660376,54.5,8.909090909090908,54.5,54.5
5.0,0.5862992384791907,1.4655616611313382,9.136363636363637,54.5,onshore,DK,45.844742693773824,50.13722998729352,71.86148609547806,0.15152721896037782,250.36634658818332,42.9164853563256,-7.363766832092747e-07,8.9313392961527,0.8092488093434875,0.1083622314467403,17,-59.587199880894076,0.4706600308418274,33.56488815418764,54.5,9.136363636363637,54.5,54.5
6.0,0.588803531396986,1.4252615800352446,9.363636363636363,54.5,onshore,DK,45.844742693773824,50.13722998729352,-18.548834874483482,0.1868991849492701,66.18793725458053,34.78326872237763,6.319797143170897e-07,22.814607200405604,0.793961782018317,0.11548183011329669,18,30.823121089067463,0.4706600308418274,33.56488815418764,54.5,9.363636363636363,54.5,54.5
7.0,0.7533620111238205,0.7678500824344235,9.59090909090909,54.5,onshore,DK,45.844742693773824,50.13722998729352,24.94951322393143,0.1379853060851135,309.431443643753,32.6429314684081,-5.576389941232585e-07,17.876603028860828,0.7739424638331841,0.12409248234878201,16,-7.161987906289827,0.5676643252372742,29.972073996208863,54.5,9.59090909090909,54.5,54.5
8.0,0.8003183364264868,0.7108710409310346,9.818181818181818,54.5,onshore,DK,45.844742693773824,50.13722998729352,-25.47586994645181,0.601531377204117,237.54999519552086,57.246406365007516,1.0506754202360932e-06,2.023788408831443,0.758607410115533,0.1301285969151428,17,44.33210565449176,0.5466800332069397,53.62165704396104,54.5,9.818181818181818,54.5,54.5
9.0,0.6296139907484584,1.268008368802992,10.045454545454545,54.5,onshore,DK,45.844742693773824,50.13722998729352,39.10811374606582,0.25205100103390793,304.1490031885305,39.88175858865139,-1.167707640626384e-06,1.0837040510268303,0.7813272408940881,0.12803261694455625,16,-28.438287260339294,0.3531801104545593,37.53225832114384,54.5,10.045454545454545,54.5,54.5
