Turbine identifier (GSRN),Date of original connection to grid,Capacity (kW),Rotor diameter (m),Hub height (m),Manufacture,Model,Local authority no,"Local authority
name",Type of location,Cadastral district,Cadastral no.,"X (east) coordinate
UTM 32 Euref89","Y (north) coordinate
UTM 32 Euref89",Origin of coordinates,Distribution company installation number
570715000000012969,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1an,554388.65,6339985.24,SDFE2018,71100-01
570715000000012976,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1af,554328.729999999,6340261.33,SDFE2018,71100-01
570715000000012983,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",19b,554265.01,6340537.53,SDFE2018,71100-01
570715000000012990,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1dx,554808.79,6339566.69,SDFE2018,71100-01
570715000000013003,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1dy,554746.819999999,6339842.16999999,SDFE2018,71100-01
570715000000013010,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1by,554685.729999999,6340116.25,SDFE2018,71100-01
570715000000013027,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1dv,554622.369999999,6340392.79999999,SDFE2018,71100-01
570715000000013034,1/14/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",3b,554560.699999999,6340667.83999999,SDFE2018,71100-01
570715000000013058,1/14/00,750,48.2,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",1eæ,553969.589999999,6340407.36,SDFE2018,71200-01
570715000000013065,1/14/00,750,48.2,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",13fa,554216.52,6339307.33999999,SDFE2018,71200-01
570715000000013089,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2cb,555252.329999999,6337724.92999999,SDFE2018,71300-00
570715000000013096,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2cb,555189.709999999,6337960.05999999,SDFE2018,71300-00
570715000000013102,5/17/01,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",0,555315.3,6337490.08,SDFE2018,71300-00
570715000000013119,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bo,555377.609999999,6337255.19,SDFE2018,71300-00
570715000000013126,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bm,555440.43,6337020.32,SDFE2018,71300-00
570715000000013133,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bv,555496.199999999,6338030.65,SDFE2018,71300-00
570715000000013140,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bt,555557.64,6337796.66,SDFE2018,71300-00
570715000000013157,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2br,555620.319999999,6337562.00999999,SDFE2018,71300-00
570715000000013164,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bm,555682.569999999,6337327.13999999,SDFE2018,71300-00
570715000000013171,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2bm,555745.349999999,6337091.91999999,SDFE2018,71300-00
570715000000013188,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,555800.819999999,6338102.87999999,SDFE2018,71300-00
570715000000013195,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,555862.589999999,6337869.4,SDFE2018,71300-00
570715000000013201,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,555925.25,6337634.28,SDFE2018,71300-00
570715000000013218,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,555987.68,6337399.05999999,SDFE2018,71300-00
570715000000013225,12/28/00,750,48,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,556049.91,6337164.16999999,SDFE2018,71300-00
570715000000013249,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Ersted By, Aarestrup",9l,562384.959999999,6327735.17999999,SDFE2018,72000-01
570715000000013256,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,Aalborg markjorde,79y,562525.819999999,6327593.16,SDFE2018,72000-01
570715000000013263,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Horsens By, Horsens",21p,562667.17,6327450.17999999,SDFE2018,72000-01
570715000000013270,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Vesterheden, Ø. Hassing",1d,562739.55,6327604.19,SDFE2018,72000-01
570715000000013287,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Guldbæk by, Ø. Hornum sogn",6x,562815.209999999,6327756.12999999,SDFE2018,72000-01
570715000000013294,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Vrå Hovedgård, Ajstrup",2a,562888.28,6327908.87999999,SDFE2018,72000-01
570715000000013300,12/31/96,750,44,46,NEG Micon,NM 44/750,851,Ålborg,LAND,"Horsens By, Horsens",7d,562962.03,6328062.5,SDFE2018,72000-01
570715000000013324,3/14/97,750,44,46,NEG Micon,NM 48/750,851,Ålborg,LAND,"Fjordengene, Hammer",30d,561753.949999999,6328129,SDFE2018,
570715000000013331,2/16/99,750,44,45,NEG Micon,NM 48/750,851,Ålborg,LAND,"Fjordengene, Hammer",30d,561641.28,6328242.74,SDFE2018,
570715000000013348,3/14/97,750,44,46,NEG Micon,NM 48/750,851,Ålborg,LAND,"Fjordengene, Hammer",15d,561562.26,6328078.62999999,SDFE2018,
570715000000013355,3/14/97,750,44,46.5,NEG Micon,NM 48/750,851,Ålborg,LAND,"Fjordengene, Hammer",15e,561450.04,6328191.70999999,SDFE2018,
570715000000013379,10/27/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Gåser By, Ø. Hassing",2ga,573565.069999999,6324221.55999999,SDFE2018,74000-01
570715000000013386,10/27/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Gåser By, Ø. Hassing",2,573629.069999999,6324496.16999999,SDFE2018,74000-01
570715000000013393,10/27/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Vesterheden, Ø. Hassing",1a,573504.229999999,6323958.25999999,SDFE2018,74000-01
570715000000013409,10/27/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Gåser By, Ø. Hassing",4,573441.91,6323696.19,SDFE2018,74000-01
570715000000013416,12/25/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Gåser By, Ø. Hassing",5,573943.719999999,6324396.4,SDFE2018,74000-01
570715000000013423,10/27/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Ø.Hassin, Ø. Hassing",41b,573882.68,6324133.83999999,SDFE2018,74000-01
570715000000013430,10/10/98,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Vesterheden, Ø. Hassing",1a,573821.89,6323870.91999999,SDFE2018,74000-01
570715000000013447,12/16/97,600,48,46,NEG Micon,NM 1800-600,851,Ålborg,LAND,"Gåser By, Ø. Hassing",24b,573760.67,6323607.45,SDFE2018,74000-01
570715000000013508,9/27/99,1000,54.2,45,BONUS,1 MW,851,Ålborg,LAND,"Klitgaard, Ulsted",1g,579470.68,6329091.84999999,SDFE2018,76000-01
570715000000013515,9/27/99,1000,54.2,45,BONUS,1 MW,851,Ålborg,LAND,"Klitgaard, Ulsted",1d,579122.449999999,6329247,SDFE2018,76000-01
570715000000013522,9/27/99,1000,54.2,45,BONUS,1 MW,851,Ålborg,LAND,"Klitgaard, Ulsted",1a,578776.189999999,6329401.29999999,SDFE2018,76000-01
570715000000013539,9/27/99,1000,54.2,45,BONUS,1 MW,851,Ålborg,LAND,"Klitgaard, Ulsted",1q,579431.29,6329470.75,SDFE2018,76000-01
570715000000013546,9/27/99,1000,54.2,45,BONUS,1 MW,851,Ålborg,LAND,"Klitgaard, Ulsted",1a,579082.979999999,6329625.75999999,SDFE2018,76000-01
570715000000057311,12/19/02,2750,92,70,NEG Micon,NM 92/750,851,Ålborg,LAND,Klarup by,44f,565272.9,6322246.21999999,SDFE2018,44434
570715000000057328,12/19/02,2300,82.4,80,BONUS,"2,3 MW",851,Ålborg,LAND,Klarup by,1b,565527.849999999,6322087.04,SDFE2018,044-435/5
570715000000057335,12/19/02,2300,82.4,80,BONUS,"2,3 MW",851,Ålborg,LAND,Klarup by,1b,565776.579999999,6321930.95999999,SDFE2018,044-435/6
570715000000057380,10/4/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Stae Bg, V. Hassing Sogn",3i,563879.8,6325382.95,SDFE2018,70096-01
570715000000057397,10/3/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Østeeladen, V. Hassing",1h,563645.689999999,6325593.80999999,SDFE2018,70095-01
570715000000057410,9/30/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Østerladen, V. Hassing",2a,563411.359999999,6325804.13999999,SDFE2018,71101-01
570715000000057427,10/14/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Vesterladen, Horsens",1a,562836.699999999,6326261.95,SDFE2018,71102-01/01
570715000000057434,10/14/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Vesterladen, Horsens",1a,562661.569999999,6326523.5,SDFE2018,71102-01/02
570715000000057441,10/14/02,2000,76,70,BONUS,2 MW,851,Ålborg,LAND,"Vesterladen, Horsens",1a,562486.31,6326785.48,SDFE2018,71102-01/03
570715000000086960,8/6/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",69p,523982.08,6318569.17999999,SDFE2018,534
570715000000086977,8/4/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",83,524454.339999999,6318698.13999999,SDFE2018,535
570715000000086984,8/18/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",30b,524922.52,6318827.09999999,SDFE2018,536
570715000000086991,8/28/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",39m,525391.29,6318955.9,SDFE2018,537
570715000000087004,8/24/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",22a,525860.88,6319085.07,SDFE2018,538
570715000000087011,8/25/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Nørrekær Enge, Farstrup",10c,526331.689999999,6319214.45,SDFE2018,539
570715000000088162,10/11/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",3k,567632.17,6333408.12999999,SDFE2018,72011
570715000000088193,10/11/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",3n,567898.979999999,6333275.08999999,SDFE2018,72012
570715000000088209,10/11/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",4k,568163.89,6333142.66999999,SDFE2018,72013
570715000000088216,11/3/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",4l,568431.39,6333009.62999999,SDFE2018,72014
570715000000088223,10/29/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",4m,568697.88,6332876.82,SDFE2018,72015
570715000000088230,10/29/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",4n,568964.42,6332744.13999999,SDFE2018,72016
570715000000088247,11/2/09,2300,93,80,SIEMENS,SWT 2.3-93,851,Ålborg,LAND,"Lyngdrup by, Horsens",4o,569230.849999999,6332611.26999999,SDFE2018,72017
570715000001367815,10/10/13,25,13,18,HSWind Aps,Viking 25,851,Ålborg,Land,,,539926.54,6311665.25,SDFE2018,
570715000001437228,2/10/15,10,7,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001443601,4/7/15,25,13,18,HSWind Aps,Viking 25,851,Ålborg,Land,,,550525.16,6318872.92999999,SDFE2018,
570715000001444011,3/30/15,10,7,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001444660,9/14/16,10,7.1,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001445049,8/1/15,10,14,18,Solid Wind Power A/S,SWP-10-16 TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001452153,8/18/15,10,7.1,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001462954,7/8/15,10,14,18,Solid Wind Power A/S,SWP-10-16 TG20,851,Ålborg,Land,,,546351.02,6318742.44,SDFE2018,
570715000001462992,7/9/15,10,14,18,Solid Wind Power A/S,SWP-10-16 TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001463593,9/29/15,10,7.1,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001472052,8/18/15,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,572743.29,6328157.29,SDFE2018,
570715000001479136,8/31/15,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,574600.91,6321373.05999999,SDFE2018,
570715000001481771,9/15/15,10,7,21,Ukendt,Ukendt,851,Ålborg,Land,,,555969.479999999,6342312.78,SDFE2018,
570715000001489715,11/10/15,10,7.1,21,Ukendt,Ukendt,851,Ålborg,Land,,,562828.859999999,6314705.74,SDFE2018,
570715000001497789,12/1/15,10,13,18,Gaia-Wind Ltd,Gaia Wind 133-10 kW,851,Ålborg,Land,,,551233.699999999,6332364.59999999,SDFE2018,
570715000001498137,10/15/15,10,7,21,Ukendt,Ukendt,851,Ålborg,Land,,,553953.689999999,6331765.57,SDFE2018,
570715000001513724,4/25/16,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001521989,5/19/16,10,7,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
570715000001543776,9/12/16,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001546722,8/30/16,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001547392,8/4/16,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,,,Stamdata,
570715000001583017,11/6/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",5m,569662,6331602,SDFE2018,51864
570715000001583024,11/6/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",6g,569344,6331730,SDFE2018,51863
570715000001583031,11/22/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",6h,569026,6331857,SDFE2018,51862
570715000001583048,11/6/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",6i,568708,6331985,SDFE2018,51861
570715000001583055,11/14/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Langholt Hgd., Horsens",1h,568390,6332113,SDFE2018,51860
570715000001583062,11/17/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",5n,568072,6332240,SDFE2018,51859
570715000001583079,11/14/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",5o,567762,6332365,SDFE2018,51858
570715000001583086,11/14/17,3400,113,83.5,SIEMENS,SWT-3.2-113 DD,851,Ålborg,LAND,"Lyngdrup By, Horsens",5p,567452,6332489,SDFE2018,51857
570715000001593825,1/15/18,10,13,18,Gaia-Wind Ltd,Gaia Wind 133-10 kW,851,Ålborg,Land,,,,,Stamdata,
571313103190009665,9/11/14,10,7.1,21.4,Ukendt,Ukendt,851,Ålborg,Land,,,548805.27,6329296.36,SDFE2018,
571313104490391016,4/5/17,10,7.1,21,Ukendt,Ukendt,851,Ålborg,Land,,,,,Stamdata,
571313104490400763,9/22/17,10,13,18.3,Gaia-Wind Ltd,Gaia Wind 133-10 kW,851,Ålborg,Land,,,,,Stamdata,
571313113162208378,5/24/18,10,14,18,Solid Wind Power A/S,SWP10-14TG20,851,Ålborg,Land,,,,,Stamdata,
571313113162404848,7/29/19,10,13,18.2,Gaia-Wind Ltd,GW133 10kW,851,Ålborg,Land,,,,,Stamdata,
570715000000001895,4/10/92,150,28,30.2,Wind World,W 2800-150,860,Hjørring,LAND,"Jonstrup By, Skt. Hans",1g,556412.069999999,6370243.55999999,SDFE2018,0101-1150
570715000000001901,4/10/92,150,28,30.2,Wind World,W 2800-150,860,Hjørring,LAND,"Jonstrup By, Skt. Hans",1a,556318.739999999,6370289.44,SDFE2018,0101-1152
570715000000001918,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1eq,562180.28,6362867.87,SDFE2018,0103-0782
570715000000001925,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",3r,562339.43,6362843.71999999,SDFE2018,0103-0784
570715000000001932,11/11/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",3er,562498.65,6362819.65,SDFE2018,0103-0786
570715000000001949,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1es,562657.68,6362795.32,SDFE2018,0103-0788
570715000000001956,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1et,562179.67,6362731.50999999,SDFE2018,0103-0790
570715000000001963,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1eu,562338.38,6362707.53,SDFE2018,0103-0792
570715000000001970,11/8/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1ev,562497.819999999,6362683.05999999,SDFE2018,0103-0794
570715000000001987,11/11/96,250,29.2,31.5,Wind World,W 2920-250,860,Hjørring,LAND,"Rønnovsholm Hgd., Vrejlev",1ex,562657.599999999,6362659.04999999,SDFE2018,0103-0796
570715000000001994,8/18/89,150,25,31,Wind World,W 2500-150,860,Hjørring,LAND,"Gunderup By, Vrejlev",6m,559102.88,6359150.03,SDFE2018,0106-0050
570715000000002007,7/13/89,100,24.6,31,Wind World,W 2460-100,860,Hjørring,LAND,"Gunderup By, Vrejlev",6m,559103.4,6359214.98,SDFE2018,0106-0052
570715000000002069,7/7/00,660,47,45,Vestas Wind Systems A/S,V 47-660,860,Hjørring,LAND,"Fuglsig Hgd., Hjørring Jorder",10a,562900.329999999,6365585.50999999,SDFE2018,0107-1594
570715000000002076,7/7/00,660,47,45,Vestas Wind Systems A/S,V 47-660,860,Hjørring,LAND,"Fuglsig Hgd., Hjørring Jorder",10b,563113.89,6365715.75999999,SDFE2018,0107-1596
570715000000002083,12/30/98,660,47,45,Vestas Wind Systems A/S,V 47-660,860,Hjørring,LAND,"Den vestlige Del, Ugilt",2a,564277.699999999,6365861.91999999,SDFE2018,0107-2554
570715000000002090,1/21/99,660,47,45,Vestas Wind Systems A/S,V 47-660,860,Hjørring,LAND,"Den vestlige Del, Ugilt",2aø,564466.3,6365977.73,SDFE2018,0107-2555
570715000000002106,1/21/99,660,47,45,Vestas Wind Systems A/S,V 47-660,860,Hjørring,LAND,"Den vestlige Del, Ugilt",2aæ,564655.41,6366090.23,SDFE2018,0107-2556
570715000000002137,12/10/98,750,48,45,Micon,M 750-200/48,860,Hjørring,LAND,"Smidstrup By, Sejlstrup",3d,554451.17,6360149.71999999,SDFE2018,0108-0562
570715000000002144,12/10/98,750,48,45,Micon,M 750-200/48,860,Hjørring,LAND,"Smidstrup By, Sejlstrup",3f,554643.02,6359981.05999999,SDFE2018,0108-0564
570715000000002151,12/10/98,750,48,45,Micon,M 750-200/48,860,Hjørring,LAND,"Smidstrup By, Sejlstrup",3e,554436.56,6359894.83999999,SDFE2018,0108-0566
